期号,中奖号码,总和,开奖日期
21191,49,13,2021-07-20
21190,428,14,2021-07-19
21189,810,9,2021-07-18
21188,608,14,2021-07-17
21187,375,15,2021-07-16
21186,691,16,2021-07-15
21185,695,20,2021-07-14
21184,811,10,2021-07-13
21183,350,8,2021-07-12
21182,229,13,2021-07-11
21181,549,18,2021-07-10
21180,930,12,2021-07-09
21179,866,20,2021-07-08
21178,900,9,2021-07-07
21177,17,8,2021-07-06
21176,865,19,2021-07-05
21175,117,9,2021-07-04
21174,243,9,2021-07-03
21173,97,16,2021-07-02
21172,757,19,2021-07-01
21171,465,15,2021-06-30
21170,499,22,2021-06-29
21169,116,8,2021-06-28
21168,946,19,2021-06-27
21167,665,17,2021-06-26
21166,810,9,2021-06-25
21165,506,11,2021-06-24
21164,137,11,2021-06-23
21163,611,8,2021-06-22
21162,793,19,2021-06-21
21161,762,15,2021-06-20
21160,958,22,2021-06-19
21159,237,12,2021-06-18
21158,905,14,2021-06-17
21157,219,12,2021-06-16
21156,732,12,2021-06-15
21155,217,10,2021-06-14
21154,591,15,2021-06-13
21153,368,17,2021-06-12
21152,348,15,2021-06-11
21151,826,16,2021-06-10
21150,301,4,2021-06-09
21149,878,23,2021-06-08
21148,215,8,2021-06-07
21147,257,14,2021-06-06
21146,901,10,2021-06-05
21145,245,11,2021-06-04
21144,74,11,2021-06-03
21143,386,17,2021-06-02
21142,197,17,2021-06-01
21141,103,4,2021-05-31
21140,132,6,2021-05-30
21139,649,19,2021-05-29
21138,928,19,2021-05-28
21137,685,19,2021-05-27
21136,469,19,2021-05-26
21135,505,10,2021-05-25
21134,216,9,2021-05-24
21133,532,10,2021-05-23
21132,741,12,2021-05-22
21131,223,7,2021-05-21
21130,172,10,2021-05-20
21129,793,19,2021-05-19
21128,689,23,2021-05-18
21127,449,17,2021-05-17
21126,813,12,2021-05-16
21125,919,19,2021-05-15
21124,492,15,2021-05-14
21123,822,12,2021-05-13
21122,853,16,2021-05-12
21121,80,8,2021-05-11
21120,686,20,2021-05-10
21119,136,10,2021-05-09
21118,694,19,2021-05-08
21117,923,14,2021-05-07
21116,414,9,2021-05-06
21115,834,15,2021-05-05
21114,713,11,2021-05-04
21113,32,5,2021-05-03
21112,451,10,2021-05-02
21111,838,19,2021-05-01
21110,234,9,2021-04-30
21109,172,10,2021-04-29
21108,553,13,2021-04-28
21107,264,12,2021-04-27
21106,733,13,2021-04-26
21105,638,17,2021-04-25
21104,906,15,2021-04-24
21103,833,14,2021-04-23
21102,116,8,2021-04-22
21101,786,21,2021-04-21
21100,276,15,2021-04-20
21099,491,14,2021-04-19
21098,302,5,2021-04-18
21097,816,15,2021-04-17
21096,593,17,2021-04-16
21095,952,16,2021-04-15
21094,569,20,2021-04-14
21093,431,8,2021-04-13
21092,870,15,2021-04-12
21091,472,13,2021-04-11
21090,678,21,2021-04-10
21089,245,11,2021-04-09
21088,304,7,2021-04-08
21087,866,20,2021-04-07
21086,263,11,2021-04-06
21085,996,24,2021-04-05
21084,493,16,2021-04-04
21083,676,19,2021-04-03
21082,227,11,2021-04-02
21081,241,7,2021-04-01
21080,645,15,2021-03-31
21079,959,23,2021-03-30
21078,686,20,2021-03-29
21077,710,8,2021-03-28
21076,18,9,2021-03-27
21075,68,14,2021-03-26
21074,279,18,2021-03-25
21073,173,11,2021-03-24
21072,562,13,2021-03-23
21071,655,16,2021-03-22
21070,988,25,2021-03-21
21069,719,17,2021-03-20
21068,45,9,2021-03-19
21067,170,8,2021-03-18
21066,523,10,2021-03-17
21065,642,12,2021-03-16
21064,626,14,2021-03-15
21063,673,16,2021-03-14
21062,446,14,2021-03-13
21061,368,17,2021-03-12
21060,655,16,2021-03-11
21059,636,15,2021-03-10
21058,972,18,2021-03-09
21057,257,14,2021-03-08
21056,622,10,2021-03-07
21055,607,13,2021-03-06
21054,125,8,2021-03-05
21053,954,18,2021-03-04
21052,986,23,2021-03-03
21051,730,10,2021-03-02
21050,460,10,2021-03-01
21049,603,9,2021-02-28
21048,945,18,2021-02-27
21047,626,14,2021-02-26
21046,47,11,2021-02-25
21045,252,9,2021-02-24
21044,269,17,2021-02-23
21043,54,9,2021-02-22
21042,956,20,2021-02-21
21041,992,20,2021-02-20
21040,341,8,2021-02-19
21039,675,18,2021-02-08
21038,492,15,2021-02-07
21037,161,8,2021-02-06
21036,956,20,2021-02-05
21035,546,15,2021-02-04
21034,534,12,2021-02-03
21033,452,11,2021-02-02
21032,373,13,2021-02-01
21031,714,12,2021-01-31
21030,225,9,2021-01-30
21029,865,19,2021-01-29
21028,790,16,2021-01-28
21027,23,5,2021-01-27
21026,426,12,2021-01-26
21025,859,22,2021-01-25
21024,342,9,2021-01-24
21023,840,12,2021-01-23
21022,963,18,2021-01-22
21021,972,18,2021-01-21
21020,398,20,2021-01-20
21019,252,9,2021-01-19
21018,468,18,2021-01-18
21017,1,1,2021-01-17
21016,223,7,2021-01-16
21015,659,20,2021-01-15
21014,790,16,2021-01-14
21013,887,23,2021-01-13
21012,906,15,2021-01-12
21011,960,15,2021-01-11
21010,743,14,2021-01-10
21009,231,6,2021-01-09
21008,647,17,2021-01-08
21007,901,10,2021-01-07
21006,908,17,2021-01-06
21005,633,12,2021-01-05
21004,501,6,2021-01-04
21003,880,16,2021-01-03
21002,355,13,2021-01-02
21001,326,11,2021-01-01
20312,614,11,2020-12-31
20311,580,13,2020-12-30
20310,503,8,2020-12-29
20309,272,11,2020-12-28
20308,574,16,2020-12-27
20307,695,20,2020-12-26
20306,438,15,2020-12-25
20305,373,13,2020-12-24
20304,627,15,2020-12-23
20303,906,15,2020-12-22
20302,108,9,2020-12-21
20301,418,13,2020-12-20
20300,412,7,2020-12-19
20299,323,8,2020-12-18
20298,290,11,2020-12-17
20297,745,16,2020-12-16
20296,251,8,2020-12-15
20295,839,20,2020-12-14
20294,630,9,2020-12-13
20293,203,5,2020-12-12
20292,767,20,2020-12-11
20291,468,18,2020-12-10
20290,846,18,2020-12-09
20289,593,17,2020-12-08
20288,693,18,2020-12-07
20287,276,15,2020-12-06
20286,519,15,2020-12-05
20285,144,9,2020-12-04
20284,337,13,2020-12-03
20283,570,12,2020-12-02
20282,257,14,2020-12-01
20281,951,15,2020-11-30
20280,160,7,2020-11-29
20279,932,14,2020-11-28
20278,274,13,2020-11-27
20277,567,18,2020-11-26
20276,994,22,2020-11-25
20275,716,14,2020-11-24
20274,595,19,2020-11-23
20273,174,12,2020-11-22
20272,243,9,2020-11-21
20271,929,20,2020-11-20
20270,414,9,2020-11-19
20269,693,18,2020-11-18
20268,635,14,2020-11-17
20267,625,13,2020-11-16
20266,110,2,2020-11-15
20265,770,14,2020-11-14
20264,160,7,2020-11-13
20263,809,17,2020-11-12
20262,665,17,2020-11-11
20261,833,14,2020-11-10
20260,278,17,2020-11-09
20259,230,5,2020-11-08
20258,468,18,2020-11-07
20257,258,15,2020-11-06
20256,208,10,2020-11-05
20255,460,10,2020-11-04
20254,120,3,2020-11-03
20253,858,21,2020-11-02
20252,761,14,2020-11-01
20251,252,9,2020-10-31
20250,839,20,2020-10-30
20249,700,7,2020-10-29
20248,962,17,2020-10-28
20247,980,17,2020-10-27
20246,525,12,2020-10-26
20245,895,22,2020-10-25
20244,978,24,2020-10-24
20243,82,10,2020-10-23
20242,828,18,2020-10-22
20241,49,13,2020-10-21
20240,861,15,2020-10-20
20239,821,11,2020-10-19
20238,275,14,2020-10-18
20237,524,11,2020-10-17
20236,998,26,2020-10-16
20235,284,14,2020-10-15
20234,610,7,2020-10-14
20233,393,15,2020-10-13
20232,56,11,2020-10-12
20231,115,7,2020-10-11
20230,573,15,2020-10-10
20229,911,11,2020-10-09
20228,430,7,2020-10-08
20227,188,17,2020-10-07
20226,200,2,2020-10-06
20225,27,9,2020-10-05
20224,939,21,2020-09-30
20223,231,6,2020-09-29
20222,528,15,2020-09-28
20221,442,10,2020-09-27
20220,293,14,2020-09-26
20219,20,2,2020-09-25
20218,648,18,2020-09-24
20217,719,17,2020-09-23
20216,623,11,2020-09-22
20215,797,23,2020-09-21
20214,860,14,2020-09-20
20213,736,16,2020-09-19
20212,559,19,2020-09-18
20211,463,13,2020-09-17
20210,326,11,2020-09-16
20209,207,9,2020-09-15
20208,811,10,2020-09-14
20207,378,18,2020-09-13
20206,611,8,2020-09-12
20205,681,15,2020-09-11
20204,74,11,2020-09-10
20203,677,20,2020-09-09
20202,260,8,2020-09-08
20201,816,15,2020-09-07
20200,23,5,2020-09-06
20199,708,15,2020-09-05
20198,612,9,2020-09-04
20197,429,15,2020-09-03
20196,841,13,2020-09-02
20195,839,20,2020-09-01
20194,436,13,2020-08-31
20193,309,12,2020-08-30
20192,849,21,2020-08-29
20191,936,18,2020-08-28
20190,733,13,2020-08-27
20189,917,17,2020-08-26
20188,294,15,2020-08-25
20187,143,8,2020-08-24
20186,547,16,2020-08-23
20185,197,17,2020-08-22
20184,555,15,2020-08-21
20183,866,20,2020-08-20
20182,913,13,2020-08-19
20181,293,14,2020-08-18
20180,127,10,2020-08-17
20179,69,15,2020-08-16
20178,337,13,2020-08-15
20177,481,13,2020-08-14
20176,962,17,2020-08-13
20175,944,17,2020-08-12
20174,294,15,2020-08-11
20173,317,11,2020-08-10
20172,603,9,2020-08-09
20171,243,9,2020-08-08
20170,650,11,2020-08-07
20169,122,5,2020-08-06
20168,786,21,2020-08-05
20167,841,13,2020-08-04
20166,343,10,2020-08-03
20165,59,14,2020-08-02
20164,484,16,2020-08-01
20163,230,5,2020-07-31
20162,628,16,2020-07-30
20161,704,11,2020-07-29
20160,920,11,2020-07-28
20159,481,13,2020-07-27
20158,266,14,2020-07-26
20157,764,17,2020-07-25
20156,98,17,2020-07-24
20155,12,3,2020-07-23
20154,810,9,2020-07-22
20153,66,12,2020-07-21
20152,698,23,2020-07-20
20151,800,8,2020-07-19
20150,373,13,2020-07-18
20149,334,10,2020-07-17
20148,964,19,2020-07-16
20147,79,16,2020-07-15
20146,880,16,2020-07-14
20145,846,18,2020-07-13
20144,610,7,2020-07-12
20143,854,17,2020-07-11
20142,713,11,2020-07-10
20141,833,14,2020-07-09
20140,515,11,2020-07-08
20139,956,20,2020-07-07
20138,4,4,2020-07-06
20137,102,3,2020-07-05
20136,552,12,2020-07-04
20135,603,9,2020-07-03
20134,753,15,2020-07-02
20133,77,14,2020-07-01
20132,879,24,2020-06-30
20131,358,16,2020-06-29
20130,968,23,2020-06-28
20129,11,2,2020-06-27
20128,86,14,2020-06-26
20127,325,10,2020-06-25
20126,494,17,2020-06-24
20125,660,12,2020-06-23
20124,629,17,2020-06-22
20123,248,14,2020-06-21
20122,639,18,2020-06-20
20121,718,16,2020-06-19
20120,242,8,2020-06-18
20119,160,7,2020-06-17
20118,204,6,2020-06-16
20117,834,15,2020-06-15
20116,934,16,2020-06-14
20115,552,12,2020-06-13
20114,65,11,2020-06-12
20113,75,12,2020-06-11
20112,421,7,2020-06-10
20111,675,18,2020-06-09
20110,282,12,2020-06-08
20109,317,11,2020-06-07
20108,267,15,2020-06-06
20107,198,18,2020-06-05
20106,440,8,2020-06-04
20105,598,22,2020-06-03
20104,295,16,2020-06-02
20103,904,13,2020-06-01
20102,877,22,2020-05-31
20101,267,15,2020-05-30
20100,64,10,2020-05-29
20099,798,24,2020-05-28
20098,449,17,2020-05-27
20097,935,17,2020-05-26
20096,718,16,2020-05-25
20095,425,11,2020-05-24
20094,328,13,2020-05-23
20093,730,10,2020-05-22
20092,616,13,2020-05-21
20091,599,23,2020-05-20
20090,559,19,2020-05-19
20089,87,15,2020-05-18
20088,551,11,2020-05-17
20087,343,10,2020-05-16
20086,972,18,2020-05-15
20085,835,16,2020-05-14
20084,567,18,2020-05-13
20083,96,15,2020-05-12
20082,889,25,2020-05-11
20081,262,10,2020-05-10
20080,384,15,2020-05-09
20079,103,4,2020-05-08
20078,356,14,2020-05-07
20077,213,6,2020-05-06
20076,864,18,2020-05-05
20075,585,18,2020-05-04
20074,224,8,2020-05-03
20073,669,21,2020-05-02
20072,790,16,2020-05-01
20071,384,15,2020-04-30
20070,804,12,2020-04-29
20069,788,23,2020-04-28
20068,410,5,2020-04-27
20067,477,18,2020-04-26
20066,262,10,2020-04-25
20065,199,19,2020-04-24
20064,352,10,2020-04-23
20063,531,9,2020-04-22
20062,318,12,2020-04-21
20061,152,8,2020-04-20
20060,490,13,2020-04-19
20059,19,10,2020-04-18
20058,228,12,2020-04-17
20057,57,12,2020-04-16
20056,578,20,2020-04-15
20055,659,20,2020-04-14
20054,87,15,2020-04-13
20053,588,21,2020-04-12
20052,223,7,2020-04-11
20051,753,15,2020-04-10
20050,593,17,2020-04-09
20049,710,8,2020-04-08
20048,854,17,2020-04-07
20047,809,17,2020-04-06
20046,324,9,2020-04-05
20045,31,4,2020-04-04
20044,120,3,2020-04-03
20043,70,7,2020-04-02
20042,274,13,2020-04-01
20041,705,12,2020-03-31
20040,389,20,2020-03-30
20039,846,18,2020-03-29
20038,739,19,2020-03-28
20037,120,3,2020-03-27
20036,301,4,2020-03-26
20035,328,13,2020-03-25
20034,473,14,2020-03-24
20033,767,20,2020-03-23
20032,688,22,2020-03-22
